timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1402866582089,1677,Home Page,200,OK,Jakarta Users 1-2,text,true,244,1671
1402866582117,2018,Home Page,200,OK,Jakarta Users 1-4,text,true,243,2011
1402866582137,2653,Home Page,200,OK,Jakarta Users 1-5,text,true,244,2652
1402866582096,3096,Home Page,200,OK,Jakarta Users 1-3,text,true,244,3096
1402866582202,3613,Home Page,200,OK,Jakarta Users 1-8,text,true,244,3613
1402866582243,3749,Home Page,200,OK,Jakarta Users 1-10,text,true,243,3748
1402866582222,4580,Home Page,200,OK,Jakarta Users 1-9,text,true,244,4580
1402866582263,4614,Home Page,200,OK,Jakarta Users 1-11,text,true,244,4613
1402866582179,4727,Home Page,200,OK,Jakarta Users 1-7,text,true,244,4726
1402866582351,4899,Home Page,200,OK,Jakarta Users 1-15,text,true,243,4898
1402866582284,6142,Home Page,200,OK,Jakarta Users 1-12,text,true,244,6141
1402866582305,6466,Home Page,200,OK,Jakarta Users 1-13,text,true,244,6465
1402866582393,6453,Home Page,200,OK,Jakarta Users 1-17,text,true,244,6452
1402866582476,6520,Home Page,200,OK,Jakarta Users 1-21,text,true,243,6517
1402866582325,6920,Home Page,200,OK,Jakarta Users 1-14,text,true,244,6915
1402866582522,6821,Home Page,200,OK,Jakarta Users 1-23,text,true,241,6821
1402866582455,6893,Home Page,200,OK,Jakarta Users 1-20,text,true,243,6893
1402866582371,7259,Home Page,200,OK,Jakarta Users 1-16,text,true,244,7259
1402866582496,7138,Home Page,200,OK,Jakarta Users 1-22,text,true,243,7138
1402866582414,7263,Home Page,200,OK,Jakarta Users 1-18,text,true,244,7263
1402866582564,7773,Home Page,200,OK,Jakarta Users 1-25,text,true,243,7773
1402866582434,8205,Home Page,200,OK,Jakarta Users 1-19,text,true,244,8205
1402866582651,8865,Home Page,200,OK,Jakarta Users 1-29,text,true,244,8865
1402866582630,9455,Home Page,200,OK,Jakarta Users 1-28,text,true,244,9454
1402866582543,9650,Home Page,200,OK,Jakarta Users 1-24,text,true,244,9650
1402866582755,9623,Home Page,200,OK,Jakarta Users 1-34,text,true,243,9623
1402866582610,9814,Home Page,200,OK,Jakarta Users 1-27,text,true,244,9814
1402866582588,9843,Home Page,200,OK,Jakarta Users 1-26,text,true,244,9843
1402866582776,9859,Home Page,200,OK,Jakarta Users 1-35,text,true,243,9858
1402866582692,9944,Home Page,200,OK,Jakarta Users 1-31,text,true,244,9944
1402866582734,10027,Home Page,200,OK,Jakarta Users 1-33,text,true,243,10027
1402866582838,10165,Home Page,200,OK,Jakarta Users 1-38,text,true,243,10165
