timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1402866576392,423,Home Page,200,OK,Jakarta Users 1-19,text,true,261,423
1402866576414,408,Home Page,200,OK,Jakarta Users 1-20,text,true,261,407
1402866576454,373,Home Page,200,OK,Jakarta Users 1-22,text,true,261,373
1402866576476,361,Home Page,200,OK,Jakarta Users 1-23,text,true,261,361
1402866576137,751,Home Page,200,OK,Jakarta Users 1-7,text,true,261,751
1402866576179,753,Home Page,200,OK,Jakarta Users 1-9,text,true,261,752
1402866576283,653,Home Page,200,OK,Jakarta Users 1-14,text,true,261,652
1402866576221,719,Home Page,200,OK,Jakarta Users 1-11,text,true,261,718
1402866576242,709,Home Page,200,OK,Jakarta Users 1-12,text,true,261,706
1402866576372,589,Home Page,200,OK,Jakarta Users 1-18,text,true,261,588
1402866576264,1678,Home Page,200,OK,Jakarta Users 1-13,text,true,262,1678
1402866576116,1847,Home Page,200,OK,Jakarta Users 1-6,text,true,262,1843
1402866576158,1809,Home Page,200,OK,Jakarta Users 1-8,text,true,262,1806
1402866576053,1920,Home Page,200,OK,Jakarta Users 1-2,text,true,262,1919
1402866576351,1624,Home Page,200,OK,Jakarta Users 1-17,text,true,262,1623
1402866576053,2860,Home Page,200,OK,Jakarta Users 1-1,text,true,262,2859
1402866576709,2205,Home Page,200,OK,Jakarta Users 1-34,text,true,261,2204
1402866576435,2480,Home Page,200,OK,Jakarta Users 1-21,text,true,262,2480
1402866576583,2333,Home Page,200,OK,Jakarta Users 1-28,text,true,262,2333
1402866576496,2421,Home Page,200,OK,Jakarta Users 1-24,text,true,262,2421
1402866576096,2823,Home Page,200,OK,Jakarta Users 1-5,text,true,262,2822
1402866576056,2865,Home Page,200,OK,Jakarta Users 1-3,text,true,262,2865
1402866576814,2108,Home Page,200,OK,Jakarta Users 1-39,text,true,261,2108
1402866576820,2103,Home Page,200,OK,Jakarta Users 1-19,text,true,261,2103
1402866576626,2299,Home Page,200,OK,Jakarta Users 1-30,text,true,262,2298
1402866576828,2098,Home Page,200,OK,Jakarta Users 1-22,text,true,261,2098
1402866576076,2856,Home Page,200,OK,Jakarta Users 1-4,text,true,262,2852
1402866576856,2076,Home Page,200,OK,Jakarta Users 1-41,text,true,261,2076
1402866576876,2060,Home Page,200,OK,Jakarta Users 1-42,text,true,261,2060
1402866576889,2049,Home Page,200,OK,Jakarta Users 1-7,text,true,261,2048
1402866576199,2740,Home Page,200,OK,Jakarta Users 1-10,text,true,262,2740
1402866576518,2423,Home Page,200,OK,Jakarta Users 1-25,text,true,262,2422
1402866576937,2017,Home Page,200,OK,Jakarta Users 1-14,text,true,261,2005
1402866576309,2646,Home Page,200,OK,Jakarta Users 1-15,text,true,262,2646
1402866576330,2630,Home Page,200,OK,Jakarta Users 1-16,text,true,262,2629
1402866576541,2428,Home Page,200,OK,Jakarta Users 1-26,text,true,262,2428
1402866576959,2013,Home Page,200,OK,Jakarta Users 1-46,text,true,261,2012
1402866576952,2025,Home Page,200,OK,Jakarta Users 1-12,text,true,261,2023
1402866576563,2577,Home Page,200,OK,Jakarta Users 1-27,text,true,262,2576
1402866577001,2145,Home Page,200,OK,Jakarta Users 1-48,text,true,261,2144
1402866577042,2107,Home Page,200,OK,Jakarta Users 1-50,text,true,261,2106
1402866577967,1743,Home Page,200,OK,Jakarta Users 1-8,text,true,261,1742
1402866578913,800,Home Page,200,OK,Jakarta Users 1-1,text,true,261,797
